iy,id,it,imin,qn,qh,qe,qs,qf,U,RH,Tair,pres,rain,kdown,snow,ldown,fcld,Wuh,xsmd,lai,kdiff,Kdir,wdir
2017,272,20,0,-999.00,-999.00,-999.00,-999.00,-999.00,8,76,21.67,29.41,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.475,-999.00,-999.00,0,-999.00
2017,272,21,0,-999.00,-999.00,-999.00,-999.00,-999.00,10,73,21.67,29.41,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.471,-999.00,-999.00,0,-999.00
2017,272,22,0,-999.00,-999.00,-999.00,-999.00,-999.00,7,71,21.11,29.41,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.471,-999.00,-999.00,0,-999.00
2017,272,23,0,-999.00,-999.00,-999.00,-999.00,-999.00,7,71,21.11,29.4,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.465,-999.00,-999.00,0,-999.00
2017,271,0,0,-999.00,-999.00,-999.00,-999.00,-999.00,6,90,22.78,29.29,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.428,-999.00,-999.00,0,-999.00
2017,271,1,0,-999.00,-999.00,-999.00,-999.00,-999.00,5,90,22.78,29.29,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.43,-999.00,-999.00,0,-999.00
2017,271,2,0,-999.00,-999.00,-999.00,-999.00,-999.00,5,90,22.78,29.29,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.423,-999.00,-999.00,0,-999.00
2017,271,3,0,-999.00,-999.00,-999.00,-999.00,-999.00,3,89,22.78,29.29,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.423,-999.00,-999.00,0,-999.00
2017,271,4,0,-999.00,-999.00,-999.00,-999.00,-999.00,5,87,22.78,29.29,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.419,-999.00,-999.00,0,-999.00
2017,271,5,0,-999.00,-999.00,-999.00,-999.00,-999.00,5,87,22.78,29.29,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.419,-999.00,-999.00,0,-999.00
2017,271,6,0,-999.00,-999.00,-999.00,-999.00,-999.00,6,90,22.78,29.31,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.415,-999.00,-999.00,0,-999.00
2017,271,7,0,-999.00,-999.00,-999.00,-999.00,-999.00,7,88,23.33,29.32,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.416,-999.00,-999.00,0,-999.00
2017,271,8,0,-999.00,-999.00,-999.00,-999.00,-999.00,6,88,23.33,29.33,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.411,-999.00,-999.00,39,-999.00
2017,271,9,0,-999.00,-999.00,-999.00,-999.00,-999.00,7,82,25.00,29.35,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.413,-999.00,-999.00,117,-999.00
2017,271,10,0,-999.00,-999.00,-999.00,-999.00,-999.00,5,74,27.22,29.34,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.414,-999.00,-999.00,151,-999.00
2017,271,11,0,-999.00,-999.00,-999.00,-999.00,-999.00,7,70,28.33,29.32,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.414,-999.00,-999.00,204,-999.00
2017,271,12,0,-999.00,-999.00,-999.00,-999.00,-999.00,7,65,28.89,29.3,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.412,-999.00,-999.00,307,-999.00
2017,271,13,0,-999.00,-999.00,-999.00,-999.00,-999.00,6,67,28.89,29.28,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.414,-999.00,-999.00,306,-999.00
2017,271,14,0,-999.00,-999.00,-999.00,-999.00,-999.00,6,70,27.78,29.27,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.41,-999.00,-999.00,296,-999.00
2017,271,15,0,-999.00,-999.00,-999.00,-999.00,-999.00,7,70,28.33,29.27,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.409,-999.00,-999.00,142,-999.00
2017,271,16,0,-999.00,-999.00,-999.00,-999.00,-999.00,8,72,27.78,29.27,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.41,-999.00,-999.00,81,-999.00
2017,271,17,0,-999.00,-999.00,-999.00,-999.00,-999.00,7,79,26.11,29.29,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.404,-999.00,-999.00,17,-999.00
2017,271,18,0,-999.00,-999.00,-999.00,-999.00,-999.00,3,88,24.44,29.31,0.04233333,-999.00,-999.00,-999.00,-999.00,-999.00,0.406,-999.00,-999.00,0,-999.00
2017,271,19,0,-999.00,-999.00,-999.00,-999.00,-999.00,0,90,23.89,29.32,0.02116667,-999.00,-999.00,-999.00,-999.00,-999.00,0.404,-999.00,-999.00,0,-999.00
2017,271,20,0,-999.00,-999.00,-999.00,-999.00,-999.00,5,94,23.33,29.35,0.02116667,-999.00,-999.00,-999.00,-999.00,-999.00,0.404,-999.00,-999.00,0,-999.00
2017,271,21,0,-999.00,-999.00,-999.00,-999.00,-999.00,3,91,23.33,29.34,0.02116667,-999.00,-999.00,-999.00,-999.00,-999.00,0.403,-999.00,-999.00,0,-999.00
2017,271,22,0,-999.00,-999.00,-999.00,-999.00,-999.00,6,94,22.78,29.35,0.04233333,-999.00,-999.00,-999.00,-999.00,-999.00,0.405,-999.00,-999.00,0,-999.00
